
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 147, t: 0.0283861, dt: 0.000115054, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 148, t: 0.0285016, dt: 0.000115522, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 149, t: 0.0286176, dt: 0.000115992, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 150, t: 0.0287341, dt: 0.000116464, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 151, t: 0.028851, dt: 0.000116938, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 152, t: 0.0289684, dt: 0.000117414, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 153, t: 0.0290863, dt: 0.000117892, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 154, t: 0.0292047, dt: 0.000118372, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 155, t: 0.0293235, dt: 0.000118853, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 156, t: 0.0294429, dt: 0.000119337, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 157, t: 0.0295627, dt: 0.000119823, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 158, t: 0.029683, dt: 0.00012031, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 159, t: 0.0298038, dt: 0.0001208, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 160, t: 0.0299251, dt: 0.000121292, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 161, t: 0.0300469, dt: 0.000121785, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 162, t: 0.0301692, dt: 0.000122281, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 163, t: 0.0302919, dt: 0.000122778, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 164, t: 0.0304152, dt: 0.000123278, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 165, t: 0.030539, dt: 0.00012378, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 166, t: 0.0306633, dt: 0.000124284, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 167, t: 0.0307881, dt: 0.000124789, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 168, t: 0.0309134, dt: 0.000125297, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 169, t: 0.0310392, dt: 0.000125807, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 170, t: 0.0311655, dt: 0.000126319, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 171, t: 0.0312923, dt: 0.000126833, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 172, t: 0.0314197, dt: 0.000127349, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 173, t: 0.0315476, dt: 0.000127868, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 174, t: 0.0316759, dt: 0.000128388, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 175, t: 0.0318049, dt: 0.000128911, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 176, t: 0.0319343, dt: 0.000129435, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

